"","missing.age.mar.sex.05","missing.age.mar.sex.25","missing.age.mar.sex.50","missing.age.mcar.05","missing.age.mcar.25","missing.age.mcar.50","missing.age.mnar.05","missing.age.mnar.25","missing.age.mnar.50","missing.usr.mar.sex.05","missing.usr.mar.sex.25","missing.usr.mar.sex.50","missing.usr.mcar.05","missing.usr.mcar.25","missing.usr.mcar.50","missing.usr.mnar.05","missing.usr.mnar.25","missing.usr.mnar.50","missing.y1v19.mar.sex.05","missing.y1v19.mar.sex.25","missing.y1v19.mar.sex.50","missing.y1v19.mcar.05","missing.y1v19.mcar.25","missing.y1v19.mcar.50","missing.y1v19.mnar.05","missing.y1v19.mnar.25","missing.y1v19.mnar.50"
"X",4.74226804123711,22.9896907216495,47.0103092783505,4.74226804123711,27.4226804123711,49.3814432989691,4.94845360824742,22.3711340206186,50.1030927835052,3.50515463917526,23.2989690721649,46.8041237113402,3.81443298969072,25.360824742268,47.1134020618557,7.31958762886598,23.7113402061856,47.9381443298969,5.25773195876289,22.680412371134,47.9381443298969,5.25773195876289,25.979381443299,52.680412371134,4.84536082474227,28.1443298969072,51.5463917525773
"X.1",4.74226804123711,24.5360824742268,50.2061855670103,5.4639175257732,24.020618556701,52.4742268041237,4.63917525773196,25.8762886597938,50.6185567010309,4.94845360824742,25.2577319587629,48.9690721649485,4.43298969072165,26.0824742268041,47.9381443298969,4.94845360824742,25.4639175257732,48.2474226804124,4.32989690721649,23.5051546391753,45.360824742268,6.39175257731959,23.2989690721649,50.6185567010309,6.28865979381443,25.1546391752577,51.4432989690722
"X.2",4.63917525773196,23.8144329896907,47.319587628866,4.43298969072165,24.3298969072165,47.6288659793814,4.43298969072165,23.9175257731959,51.7525773195876,5.36082474226804,23.8144329896907,46.5979381443299,3.81443298969072,25.6701030927835,48.7628865979381,5.36082474226804,25.4639175257732,49.6907216494845,5.67010309278351,23.7113402061856,47.4226804123711,5.56701030927835,27.6288659793814,49.0721649484536,4.74226804123711,26.3917525773196,50.5154639175258
"X.3",4.63917525773196,25.5670103092783,46.8041237113402,5.05154639175258,25.8762886597938,52.1649484536083,4.94845360824742,23.4020618556701,52.0618556701031,3.71134020618557,24.639175257732,46.3917525773196,4.32989690721649,27.319587628866,50.5154639175258,4.74226804123711,23.0927835051546,51.4432989690722,3.19587628865979,23.8144329896907,49.2783505154639,5.56701030927835,24.639175257732,50.5154639175258,4.94845360824742,25.4639175257732,50.4123711340206
"X.4",5.67010309278351,23.9175257731959,48.5567010309278,5.25773195876289,27.319587628866,50.1030927835052,4.84536082474227,25.6701030927835,51.6494845360825,5.56701030927835,23.8144329896907,50.7216494845361,4.43298969072165,26.1855670103093,48.0412371134021,5.97938144329897,24.9484536082474,45.979381443299,5.15463917525773,24.4329896907216,48.8659793814433,6.70103092783505,26.1855670103093,49.4845360824742,6.08247422680412,24.7422680412371,51.4432989690722
"X.5",4.84536082474227,24.639175257732,49.5876288659794,5.77319587628866,24.8453608247423,51.340206185567,4.5360824742268,26.4948453608247,50.6185567010309,5.15463917525773,27.0103092783505,47.1134020618557,5.67010309278351,23.8144329896907,50.6185567010309,5.25773195876289,23.8144329896907,50.3092783505155,6.08247422680412,22.9896907216495,50.1030927835052,5.25773195876289,23.9175257731959,47.4226804123711,5.15463917525773,28.1443298969072,50.5154639175258
"X.6",4.74226804123711,24.4329896907216,46.5979381443299,5.36082474226804,27.1134020618557,49.1752577319588,6.18556701030928,24.9484536082474,49.0721649484536,4.84536082474227,23.6082474226804,47.319587628866,4.84536082474227,25.0515463917526,49.5876288659794,5.67010309278351,25.5670103092783,50.2061855670103,5.87628865979381,22.2680412371134,50,4.43298969072165,24.8453608247423,51.1340206185567,5.05154639175258,24.020618556701,51.340206185567
"X.7",4.43298969072165,22.3711340206186,46.3917525773196,5.05154639175258,27.0103092783505,52.0618556701031,4.63917525773196,24.5360824742268,51.340206185567,4.02061855670103,23.7113402061856,46.4948453608247,4.22680412371134,25.2577319587629,48.659793814433,5.36082474226804,24.7422680412371,51.340206185567,4.02061855670103,24.5360824742268,47.5257731958763,4.74226804123711,27.0103092783505,48.3505154639175,5.05154639175258,27.6288659793814,49.7938144329897
"X.8",4.63917525773196,23.0927835051546,48.5567010309278,5.36082474226804,25.979381443299,52.680412371134,5.4639175257732,26.9072164948454,50.1030927835052,5.05154639175258,24.1237113402062,46.0824742268041,4.84536082474227,25.5670103092783,49.0721649484536,4.12371134020619,25.360824742268,49.5876288659794,4.43298969072165,21.4432989690722,46.8041237113402,5.05154639175258,25.0515463917526,48.0412371134021,5.15463917525773,25.7731958762887,53.5051546391753
"X.9",4.43298969072165,25.979381443299,48.1443298969072,5.05154639175258,24.5360824742268,50.9278350515464,4.63917525773196,27.6288659793814,52.2680412371134,4.43298969072165,25.8762886597938,47.5257731958763,5.67010309278351,23.6082474226804,49.2783505154639,5.67010309278351,27.0103092783505,49.6907216494845,4.32989690721649,22.2680412371134,47.7319587628866,5.36082474226804,24.5360824742268,50.1030927835052,6.18556701030928,24.9484536082474,47.0103092783505
"X.10",5.77319587628866,24.7422680412371,45.5670103092784,4.63917525773196,27.4226804123711,48.1443298969072,4.74226804123711,24.8453608247423,49.4845360824742,4.5360824742268,23.6082474226804,46.3917525773196,4.63917525773196,26.1855670103093,50.5154639175258,6.28865979381443,23.0927835051546,50.2061855670103,4.12371134020619,25.4639175257732,48.2474226804124,5.15463917525773,24.8453608247423,51.1340206185567,4.94845360824742,28.2474226804124,50.8247422680412
"X.11",4.43298969072165,26.2886597938144,46.2886597938144,5.05154639175258,24.4329896907216,52.3711340206186,3.60824742268041,24.8453608247423,50,4.12371134020619,24.3298969072165,45.4639175257732,3.81443298969072,23.7113402061856,50,4.84536082474227,24.2268041237113,52.8865979381443,4.32989690721649,22.9896907216495,48.7628865979381,4.12371134020619,25.5670103092783,47.7319587628866,5.4639175257732,22.680412371134,53.1958762886598
"X.12",5.36082474226804,22.1649484536082,48.8659793814433,4.12371134020619,24.020618556701,48.9690721649485,5.97938144329897,23.9175257731959,51.9587628865979,4.74226804123711,22.9896907216495,49.7938144329897,5.15463917525773,26.5979381443299,50.8247422680412,4.74226804123711,26.0824742268041,48.0412371134021,4.43298969072165,25.5670103092783,45.360824742268,4.32989690721649,24.8453608247423,49.8969072164948,4.84536082474227,25.5670103092783,49.4845360824742
"X.13",5.15463917525773,23.5051546391753,46.0824742268041,5.15463917525773,26.8041237113402,49.7938144329897,4.22680412371134,26.0824742268041,48.9690721649485,5.36082474226804,26.0824742268041,46.701030927835,4.02061855670103,25.5670103092783,50.6185567010309,4.84536082474227,24.2268041237113,49.0721649484536,4.74226804123711,25.4639175257732,45.2577319587629,5.05154639175258,24.9484536082474,47.8350515463918,5.25773195876289,24.9484536082474,50.9278350515464
"X.14",4.84536082474227,23.6082474226804,48.3505154639175,4.32989690721649,22.4742268041237,47.8350515463918,5.25773195876289,25.6701030927835,49.7938144329897,4.5360824742268,21.6494845360825,46.2886597938144,6.28865979381443,24.020618556701,48.9690721649485,4.32989690721649,23.2989690721649,50,5.36082474226804,25.2577319587629,48.7628865979381,5.15463917525773,24.7422680412371,53.1958762886598,5.56701030927835,24.020618556701,50.6185567010309
"X.15",4.94845360824742,24.9484536082474,45.4639175257732,5.4639175257732,27.7319587628866,50.1030927835052,6.5979381443299,27.4226804123711,48.1443298969072,6.39175257731959,23.8144329896907,43.7113402061856,5.56701030927835,24.8453608247423,52.680412371134,5.05154639175258,25.5670103092783,50.2061855670103,5.25773195876289,24.4329896907216,47.0103092783505,5.05154639175258,25.360824742268,49.8969072164948,4.84536082474227,25.8762886597938,50.4123711340206
"X.16",4.74226804123711,24.639175257732,47.2164948453608,6.28865979381443,26.2886597938144,51.5463917525773,3.91752577319588,24.2268041237113,47.7319587628866,4.32989690721649,24.2268041237113,48.9690721649485,5.77319587628866,21.9587628865979,48.5567010309278,5.4639175257732,25.7731958762887,52.680412371134,5.05154639175258,26.2886597938144,46.701030927835,4.84536082474227,27.6288659793814,51.9587628865979,4.84536082474227,25.4639175257732,51.4432989690722
