"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.01795892487824,0.127297141158021,7.99671473858625,3.64318830518775e-15
"usroriginalnonemissingSuburban",-0.0697603860993344,0.0354112025480852,-1.97000895421741,0.0491232494458716
"usroriginalnonemissingUrban",-0.141264614261639,0.0375000568955671,-3.76705066488415,0.00017520230616755
"age1",0.052922011306907,0.00705173558546465,7.50482071619251,1.39682786628602e-13
"p25TRUE",0.318775872185683,0.0962850149044329,3.31075269087388,0.000964976501115106
"y1v19",-0.112692877030593,0.0144668981348461,-7.7897055733843,1.73133031134132e-14
