"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.876694310616608,0.125951785521597,6.96055484236289,6.25903624054796e-12
"usroriginalnonemissingSuburban",0.0715042281623051,0.0303375925239516,2.35695130079463,0.0186248238142655
"usroriginalnonemissingUrban",0.14126461426164,0.037500056895567,3.76705066488417,0.000175202306167531
"age1",0.0529220113069073,0.00705173558546467,7.50482071619254,1.39682786628572e-13
"p25TRUE",0.318775872185683,0.0962850149044329,3.31075269087388,0.000964976501115121
"y1v19",-0.112692877030593,0.0144668981348461,-7.78970557338429,1.73133031134139e-14
