"","p25","sex","age1","y1v12","y1v19","y1v38","y1v55","y1v102","y1v117","y1v152","y1v168","y1v169","y1v170","y1v171","y1v179","y1v180","y1v190","y1v198","y1v210","usrNMNAR","HotDeckUSRMNAR","usroriginalnonemissing","HotDeckUSRMAR","usr1MAR","nysid","Urban","Suburban","Rural","LgMarijFreq","DmgSchlPropPrev","MotorTheftPrev","TheftOver50Prev","CarriedWeaponPrev","AttackPrev","CheatingPrev","LoudUnrulyPrev","SoldHardDrgsPrev","AvoidPayingPrev","Stolen5to50Prev","SkipPrev","VarietyScore","ObscenePhonePrev","VarietyScore2","LnVarietyScore2","ethn3","UrbanMAR","SuburbanMAR","RuralMAR","HDUrban","HDSuburban","HDRural","MissingUSRDummy","UrbanMNAR","RuralMNAR","HDUrbanMNAR","HDSuburbanMNAR","HDRuralMNAR"
"1286",1,2,13,5,3,2,5,2,1,5,4,2,5,4,1,2,1,4,3,1,1,1,1,1,384503,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1.098612289,1,1,0,0,1,0,0,0,0,0,1,0,0
"1288",1,2,13,5,5,2,5,2,4,4,4,2,4,4,3,3,1,4,1,1,1,1,1,1,420803,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1.098612289,2,1,0,0,1,0,0,0,0,0,1,0,0
"1291",1,2,13,5,3,2,5,4,2,5,5,2,5,5,4,4,3,4,2,1,1,1,1,1,529402,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,1,0,0,1,0,0,0,0,0,1,0,0
"1300",1,2,14,1,5,2,5,2,4,5,5,2,5,5,4,4,2,4,1,2,2,2,2,2,417804,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1301",1,2,14,2,3,2,1,4,2,4,4,3,3,4,2,4,1,4,1,1,1,1,1,1,244502,1,0,0,1.098612289,0,1,0,0,0,0,0,0,0,0,1,2,0,2,1.098612289,2,1,0,0,1,0,0,0,0,0,1,0,0
"1302",1,2,14,3,5,1,1,5,1,5,5,2,5,5,4,4,3,4,2,2,2,2,2,2,623302,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,4,0,4,1.609437912,1,0,1,0,0,1,0,0,1,0,0,1,0
"1303",1,2,14,3,5,1,3,1,1,5,4,3,5,5,4,4,3,4,1,3,3,3,3,3,553102,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,4,0,4,1.609437912,3,0,0,1,0,0,1,0,0,1,0,0,1
"1304",1,2,14,3,4,1,3,2,3,5,5,2,4,5,1,2,2,4,1,3,3,3,3,3,742602,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1308",1,2,14,3,5,2,1,1,1,5,5,1,5,5,3,4,1,4,1,1,1,1,1,1,287202,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,1,0,0,1,0,0,0,0,0,1,0,0
"1309",1,2,14,3,2,2,1,1,4,5,5,2,5,5,2,4,3,4,2,2,2,2,2,2,489802,0,1,0,1.098612289,0,1,0,0,0,1,1,0,0,1,0,4,0,4,1.609437912,1,0,1,0,0,1,0,0,1,0,0,1,0
"1310",1,2,14,3,3,2,1,2,2,5,5,3,5,4,4,3,3,4,1,3,3,3,3,3,767402,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1312",1,2,14,3,4,2,3,2,2,5,5,2,5,5,3,3,3,4,1,3,3,3,3,3,739603,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1313",1,2,14,3,5,2,3,4,2,5,5,2,5,4,1,4,2,4,1,1,1,1,1,1,232302,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,1.098612289,2,1,0,0,1,0,0,0,0,0,1,0,0
"1318",1,2,14,4,5,1,1,2,2,5,4,2,4,4,2,4,1,4,1,3,3,3,3,3,755602,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1320",1,2,14,4,4,1,3,2,2,4,4,2,4,4,4,4,3,3,2,1,1,1,1,1,497504,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,1,0,0,1,0,0,0,0,0,1,0,0
"1321",1,2,14,4,4,1,3,2,2,5,4,2,5,5,4,3,2,4,1,1,1,1,1,1,451003,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,1,0,0,1,0,0,0,0,0,1,0,0
"1323",1,2,14,4,3,1,5,4,3,4,5,2,5,5,4,3,3,4,1,3,3,3,3,3,711402,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1324",1,2,14,4,5,2,1,1,1,5,5,1,5,5,1,1,3,4,1,2,2,2,2,2,245103,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1326",1,2,14,4,5,2,1,2,1,5,5,3,5,5,4,4,1,4,2,2,2,2,2,2,522902,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,4,1,5,1.791759469,1,0,1,0,0,1,0,0,1,0,0,1,0
"1327",1,2,14,4,4,2,1,2,2,4,4,2,4,4,3,3,3,4,2,2,2,2,2,2,194202,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1329",1,2,14,4,5,2,1,2,3,5,4,2,5,5,2,4,3,4,1,2,2,2,2,2,614303,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1331",1,2,14,4,4,2,1,4,2,5,4,4,4,5,3,4,1,4,2,3,3,3,3,3,649102,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,5,1,6,1.945910149,1,0,0,1,0,0,1,0,0,1,0,0,1
"1332",1,2,14,4,2,2,1,4,3,4,5,1,2,4,4,2,1,4,1,1,1,1,1,1,79703,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,3,1.386294361,2,1,0,0,1,0,0,0,0,0,1,0,0
"1333",1,2,14,4,4,2,3,1,1,5,5,2,5,5,4,4,1,4,2,3,3,3,3,3,728002,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1334",1,2,14,4,5,2,3,1,2,5,4,2,4,5,4,3,2,4,1,2,2,2,2,2,97602,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1335",1,2,14,4,5,2,3,1,2,5,5,2,5,5,2,3,2,4,1,3,3,3,3,3,585002,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1337",1,2,14,4,4,2,3,2,1,5,3,3,2,4,4,4,2,4,1,2,2,2,2,2,508702,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,6,0,6,1.945910149,1,0,1,0,0,1,0,0,1,0,0,1,0
"1338",1,2,14,4,5,2,3,2,1,5,5,4,5,5,4,4,1,4,2,1,1,1,1,1,507402,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,2,1,0,0,1,0,0,0,0,0,1,0,0
"1339",1,2,14,4,4,2,3,2,2,4,4,4,4,4,1,4,2,4,1,2,2,2,2,2,445202,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1340",1,2,14,4,4,2,3,2,2,4,5,2,5,5,3,4,1,4,2,2,2,2,2,2,306403,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1341",1,2,14,4,4,2,3,2,2,5,4,2,4,4,2,3,3,4,1,1,1,1,1,1,386002,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,1,1,0,0,1,0,0,0,0,0,1,0,0
"1343",1,2,14,4,3,2,3,2,3,4,4,3,4,4,1,2,1,3,1,3,3,3,3,3,594302,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1,0,0,1,0,0,1,0,0,1,0,0,1
"1344",1,2,14,4,3,2,3,4,1,5,4,2,4,5,4,4,2,4,1,3,3,3,3,3,582303,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1345",1,2,14,4,4,2,3,4,2,4,2,2,2,2,3,4,3,3,2,2,2,2,2,2,376402,0,1,0,3.135494216,1,1,0,0,0,1,1,0,0,0,1,5,1,6,1.945910149,1,0,1,0,0,1,0,0,1,0,0,1,0
"1348",1,2,14,4,3,2,5,2,1,4,4,3,4,4,4,3,2,4,1,2,2,2,2,2,235802,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
