"","p25","sex","age1","y1v12","y1v19","y1v38","y1v55","y1v102","y1v117","y1v152","y1v168","y1v169","y1v170","y1v171","y1v179","y1v180","y1v190","y1v198","y1v210","usrNMNAR","HotDeckUSRMNAR","usroriginalnonemissing","HotDeckUSRMAR","usr1MAR","nysid","Urban","Suburban","Rural","LgMarijFreq","DmgSchlPropPrev","MotorTheftPrev","TheftOver50Prev","CarriedWeaponPrev","AttackPrev","CheatingPrev","LoudUnrulyPrev","SoldHardDrgsPrev","AvoidPayingPrev","Stolen5to50Prev","SkipPrev","VarietyScore","ObscenePhonePrev","VarietyScore2","LnVarietyScore2","ethn3","UrbanMAR","SuburbanMAR","RuralMAR","HDUrban","HDSuburban","HDRural","MissingUSRDummy","UrbanMNAR","RuralMNAR","HDUrbanMNAR","HDSuburbanMNAR","HDRuralMNAR"
"1412",1,2,15,3,3,2,1,2,2,5,5,2,5,5,2,2,3,4,1,2,2,2,2,2,377302,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1413",1,2,15,3,5,2,1,2,2,5,5,3,4,5,4,4,3,4,1,3,3,3,3,3,598202,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1414",1,2,15,3,5,2,3,1,1,5,4,3,3,4,4,4,3,4,1,2,2,2,2,2,295802,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,1,4,1.609437912,1,0,1,0,0,1,0,0,1,0,0,1,0
"1416",1,2,15,3,5,2,3,2,2,5,5,2,5,5,3,3,2,4,1,1,1,1,1,1,192802,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,1,0,0,1,0,0,0,0,0,1,0,0
"1421",1,2,15,3,3,2,5,4,2,5,4,3,4,4,3,3,3,4,1,2,2,2,2,2,115202,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,5,0,5,1.791759469,1,0,1,0,0,1,0,0,1,0,0,1,0
"1422",1,2,15,4,4,1,1,2,2,4,4,3,4,4,4,2,2,3,2,2,2,2,2,2,718204,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,2,0,1,0,0,1,0,0,1,0,0,1,0
"1425",1,2,15,4,5,2,1,2,2,4,4,2,4,4,4,3,1,4,1,2,2,2,2,2,344403,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1426",1,2,15,4,5,2,1,2,2,4,5,2,4,4,3,3,3,4,1,2,2,2,2,2,298803,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1427",1,2,15,4,5,2,1,2,2,4,5,3,4,5,2,4,1,4,1,2,2,2,2,2,201602,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1428",1,2,15,4,5,2,1,2,2,5,5,2,5,5,4,4,3,4,1,2,2,2,2,2,203102,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1429",1,2,15,4,4,2,1,2,3,4,4,2,4,4,4,4,2,4,1,1,1,1,1,1,235204,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,1,0,0,1,0,0,0,0,0,1,0,0
"1431",1,2,15,4,5,2,3,1,1,5,5,1,5,5,1,3,1,4,1,2,2,2,2,2,238102,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1432",1,2,15,4,5,2,3,1,1,5,5,2,5,5,4,4,3,4,1,1,1,1,1,1,287803,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,1,0,0,1,0,0,0,0,0,1,0,0
"1433",1,2,15,4,5,2,3,1,2,5,3,3,3,4,4,4,1,4,1,2,2,2,2,2,538102,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1435",1,2,15,4,4,2,3,2,1,5,4,2,4,5,4,4,2,4,2,2,2,2,2,2,91402,0,1,0,1.098612289,0,1,0,0,0,1,1,0,0,0,1,4,0,4,1.609437912,1,0,1,0,0,1,0,0,1,0,0,1,0
"1436",1,2,15,4,4,2,3,2,1,5,5,2,4,5,4,4,2,4,1,1,1,1,1,1,281203,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,3,1.386294361,1,1,0,0,1,0,0,0,0,0,1,0,0
"1437",1,2,15,4,5,2,3,2,1,5,5,2,5,4,3,3,2,4,1,2,2,2,2,2,2702,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1438",1,2,15,4,3,2,3,2,2,4,2,2,2,4,3,4,2,3,2,2,2,2,2,2,202403,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1439",1,2,15,4,5,2,3,2,2,4,4,3,4,4,4,4,1,4,2,3,3,3,3,3,719802,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1440",1,2,15,4,4,2,3,2,2,4,5,2,5,4,2,2,2,4,1,2,2,2,2,2,119805,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1441",1,2,15,4,4,2,3,2,2,5,4,2,4,5,3,3,3,4,1,3,3,3,3,3,635902,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,4,0,4,1.609437912,1,0,0,1,0,0,1,0,0,1,0,0,1
"1442",1,2,15,4,4,2,3,2,2,5,4,3,2,4,4,4,2,4,2,2,2,2,2,2,484202,0,1,0,3.135494216,0,1,0,0,0,1,0,0,0,0,1,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1443",1,2,15,4,5,2,3,2,2,5,5,2,5,5,4,3,1,4,1,3,3,3,3,3,134204,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1444",1,2,15,4,5,2,3,2,2,5,5,3,5,5,1,2,3,4,1,2,2,2,2,2,766403,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,2,0,1,0,0,1,0,0,1,0,0,1,0
"1445",1,2,15,4,5,2,3,2,2,5,5,3,5,5,2,3,2,4,1,1,1,1,1,1,198802,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0,3,1.386294361,1,1,0,0,1,0,0,0,0,0,1,0,0
"1446",1,2,15,4,3,2,3,2,2,5,5,4,5,5,4,4,3,4,1,2,2,2,2,2,30103,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,4,0,4,1.609437912,1,0,1,0,0,1,0,0,1,0,0,1,0
"1447",1,2,15,4,3,2,3,3,3,5,4,3,2,4,4,4,1,3,3,2,2,2,2,2,221104,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,6,0,6,1.945910149,1,0,1,0,0,1,0,0,1,0,0,1,0
"1448",1,2,15,4,3,2,3,4,1,4,4,4,3,4,2,3,3,4,2,2,2,2,2,2,51903,0,1,0,1.945910149,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1451",1,2,15,4,4,2,3,4,2,4,4,2,4,5,2,3,1,4,1,2,2,2,2,2,262502,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,5,0,5,1.791759469,1,0,1,0,0,1,0,0,1,0,0,1,0
"1452",1,2,15,4,3,2,3,4,2,5,4,3,3,4,4,4,1,4,1,2,2,2,2,2,51702,0,1,0,1.945910149,0,1,0,0,0,1,0,0,0,0,1,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1453",1,2,15,4,2,2,3,4,3,4,3,4,2,3,3,4,2,3,3,2,2,2,2,2,317804,0,1,0,3.526360525,1,1,0,0,0,1,0,0,1,0,1,5,0,5,1.791759469,1,0,1,0,0,1,0,0,1,0,0,1,0
"1456",1,2,15,4,4,2,5,3,2,5,3,4,3,3,4,2,1,4,2,2,2,2,2,2,536802,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,4,1,5,1.791759469,1,0,1,0,0,1,0,0,1,0,0,1,0
"1457",1,2,15,4,5,2,5,4,1,4,5,1,5,5,2,2,1,3,2,3,3,3,3,3,579003,0,0,1,1.098612289,0,1,0,0,0,0,1,0,0,0,1,3,0,3,1.386294361,1,0,0,1,0,0,1,0,0,1,0,0,1
"1459",1,2,15,5,4,1,3,2,1,5,5,2,5,5,4,4,3,4,2,3,3,3,3,3,728402,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1462",1,2,15,5,5,1,3,2,2,5,4,1,4,4,4,4,2,4,1,2,2,2,2,2,539902,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1465",1,2,15,5,4,1,5,2,1,5,5,1,5,5,4,4,1,4,2,3,3,3,3,3,689002,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1466",1,2,15,5,5,1,5,2,2,4,5,5,5,5,4,4,1,4,1,1,1,1,1,1,438702,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,1.098612289,2,1,0,0,1,0,0,0,0,0,1,0,0
"1469",1,2,15,5,4,2,1,2,2,4,4,2,4,4,4,4,1,4,1,3,3,3,3,3,667902,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1470",1,2,15,5,4,2,1,4,2,4,4,2,3,4,4,4,1,4,1,2,2,2,2,2,50302,0,1,0,1.945910149,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1472",1,2,15,5,4,2,3,1,1,5,5,2,5,5,2,2,2,4,1,3,3,3,3,3,593603,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1474",1,2,15,5,5,2,3,1,2,5,5,1,5,5,4,4,3,4,1,2,2,2,2,2,299402,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1475",1,2,15,5,5,2,3,2,1,5,5,2,5,5,2,4,2,4,1,3,3,3,3,3,794803,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1476",1,2,15,5,4,2,3,2,1,5,5,2,5,5,4,4,3,4,1,1,1,1,1,1,193102,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,1,0,0,1,0,0,0,0,0,1,0,0
"1479",1,2,15,5,5,2,3,2,2,5,5,1,5,5,3,3,1,4,1,3,3,3,3,3,642302,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1480",1,2,15,5,3,2,3,2,2,5,5,2,5,5,3,3,3,4,1,2,2,2,2,2,175103,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,4,0,4,1.609437912,1,0,1,0,0,1,0,0,1,0,0,1,0
"1481",1,2,15,5,5,2,3,2,2,5,5,2,5,5,4,4,2,4,2,2,2,2,2,2,410202,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1482",1,2,15,5,4,2,3,2,2,5,5,3,5,5,1,4,1,4,2,2,2,2,2,2,167002,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1483",1,2,15,5,5,2,3,2,3,5,5,2,5,5,4,4,1,4,1,1,1,1,1,1,473802,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,1,0,0,1,0,0,0,0,0,1,0,0
"1484",1,2,15,5,5,2,3,2,4,4,4,3,4,4,4,3,1,4,2,2,2,2,2,2,403802,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,3,1.386294361,3,0,1,0,0,1,0,0,1,0,0,1,0
"1485",1,2,15,5,5,2,3,3,2,4,5,2,5,5,3,3,3,4,1,3,3,3,3,3,641802,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1486",1,2,15,5,4,2,3,3,2,5,4,3,4,5,2,4,2,4,2,3,3,3,3,3,621602,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,4,1,5,1.791759469,1,0,0,1,0,0,1,0,0,1,0,0,1
"1487",1,2,15,5,4,2,3,3,2,5,5,1,5,5,3,4,2,4,1,1,1,1,1,1,249202,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,1,1,0,0,1,0,0,0,0,0,1,0,0
"1489",1,2,15,5,3,2,3,4,1,5,5,3,5,5,4,3,2,4,2,3,3,3,3,3,621502,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,5,1,6,1.945910149,1,0,0,1,0,0,1,0,0,1,0,0,1
"1492",1,2,15,5,4,2,3,5,1,5,5,2,5,5,2,4,2,4,1,1,1,1,1,1,21703,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,3,1.386294361,1,1,0,0,1,0,0,0,0,0,1,0,0
"1493",1,2,15,5,3,2,5,1,1,5,2,5,2,2,4,1,3,4,1,3,3,3,3,3,573504,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1495",1,2,15,5,2,2,5,2,2,4,5,3,5,4,2,2,3,4,1,3,3,3,3,3,740302,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1,0,0,1,0,0,1,0,0,1,0,0,1
"1496",1,2,15,5,4,2,5,2,2,5,5,2,5,5,2,2,3,4,1,3,3,3,3,3,753903,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1497",1,2,15,5,4,2,5,2,2,5,5,2,5,5,4,3,3,4,1,2,2,2,2,2,209003,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1498",1,2,15,5,5,2,5,4,2,5,3,2,4,4,4,4,1,4,1,3,3,3,3,3,531903,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,3,1,4,1.609437912,1,0,0,1,0,0,1,0,0,1,0,0,1
"1499",1,2,15,5,5,2,5,4,2,5,3,4,2,4,3,1,1,3,1,2,2,2,2,2,190603,0,1,0,1.945910149,0,1,0,1,0,0,0,0,0,0,1,3,0,3,1.386294361,2,0,1,0,0,1,0,0,1,0,0,1,0
"1500",1,2,15,5,4,2,5,4,2,5,3,4,3,4,1,4,2,4,2,3,3,3,3,3,558902,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1501",1,2,15,5,2,2,5,4,4,4,5,2,5,5,4,4,1,4,2,3,3,3,3,3,758903,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1502",1,2,15,5,5,2,5,5,2,4,4,4,2,3,2,4,1,4,1,1,1,1,1,1,319903,1,0,0,1.098612289,0,1,0,0,0,1,0,0,0,0,1,3,0,3,1.386294361,2,1,0,0,1,0,0,0,0,0,1,0,0
"1513",1,2,16,1,5,2,1,1,2,5,5,3,5,4,4,3,1,4,1,2,2,2,2,2,309902,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1514",1,2,16,1,4,2,1,4,2,5,5,1,3,5,4,4,2,4,1,2,2,2,2,2,157302,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,4,1.609437912,1,0,1,0,0,1,0,0,1,0,0,1,0
"1516",1,2,16,1,5,2,3,2,2,5,4,2,3,5,4,4,3,4,1,2,2,2,2,2,30102,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1517",1,2,16,2,5,1,1,3,2,4,4,4,3,4,2,3,3,4,1,1,1,1,1,1,70402,1,0,0,1.945910149,0,1,0,0,0,0,0,0,1,0,1,3,0,3,1.386294361,2,1,0,0,1,0,0,0,0,0,1,0,0
"1518",1,2,16,2,1,1,1,4,3,5,4,4,4,4,1,3,2,4,2,2,2,2,2,2,409002,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,3,1.386294361,3,0,1,0,0,1,0,0,1,0,0,1,0
"1519",1,2,16,2,4,1,3,2,2,5,5,2,5,4,4,4,2,4,1,3,3,3,3,3,755402,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1521",1,2,16,2,5,2,1,3,1,5,5,2,5,5,2,3,1,4,1,3,3,3,3,3,134203,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,3,0,3,1.386294361,1,0,0,1,0,0,1,0,0,1,0,0,1
"1522",1,2,16,3,4,1,1,1,2,5,5,2,4,5,4,4,2,4,1,2,2,2,2,2,375402,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1523",1,2,16,3,5,1,1,2,2,4,5,2,5,4,2,2,2,4,1,3,3,3,3,3,733102,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,2,0,0,1,0,0,1,0,0,1,0,0,1
"1526",1,2,16,3,5,2,1,2,2,5,5,2,5,4,3,4,3,4,1,1,1,1,1,1,130704,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,1,4,1.609437912,1,1,0,0,1,0,0,0,0,0,1,0,0
"1527",1,2,16,3,3,2,1,2,2,5,5,2,5,5,4,4,2,4,1,2,2,2,2,2,234702,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1528",1,2,16,3,3,2,1,4,2,5,4,2,3,4,4,4,3,4,1,3,3,3,3,3,673002,0,0,1,3.135494216,0,1,0,0,0,0,1,0,0,0,1,3,0,3,1.386294361,3,0,0,1,0,0,1,0,0,1,0,0,1
"1529",1,2,16,3,3,2,1,4,2,5,4,2,3,5,2,4,2,4,2,2,2,2,2,2,113302,0,1,0,1.098612289,0,1,0,0,0,1,0,0,0,0,1,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1530",1,2,16,3,1,2,1,4,3,5,5,1,4,5,4,4,1,4,3,3,3,3,3,3,606802,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,8,0,8,2.197224577,1,0,0,1,0,0,1,0,0,1,0,0,1
"1533",1,2,16,3,4,2,3,2,1,5,5,1,5,5,3,3,3,4,1,2,2,2,2,2,410002,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1534",1,2,16,3,2,2,3,2,2,5,4,2,2,4,4,4,3,4,2,3,3,3,3,3,320602,0,0,1,2.564949357,0,1,0,0,0,0,1,0,0,0,1,3,0,3,1.386294361,1,0,0,1,0,0,1,0,0,1,0,0,1
"1537",1,2,16,3,5,2,5,2,2,2,4,2,4,4,3,4,3,3,3,2,2,2,2,2,712802,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1538",1,2,16,4,4,1,3,5,3,5,4,3,4,4,2,3,2,4,1,2,2,2,2,2,445102,0,1,0,4.762173935,1,1,0,1,0,1,1,0,0,0,1,6,0,6,1.945910149,3,0,1,0,0,1,0,0,1,0,0,1,0
"1539",1,2,16,4,5,1,5,1,1,5,5,1,5,5,4,4,3,4,1,3,3,3,3,3,686303,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"1540",1,2,16,4,4,2,1,1,1,5,5,2,5,5,1,1,2,4,1,2,2,2,2,2,611202,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1541",1,2,16,4,4,2,1,1,2,5,5,3,4,4,4,4,2,4,1,2,2,2,2,2,344402,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1542",1,2,16,4,5,2,1,2,2,5,5,2,5,5,3,4,3,4,1,3,3,3,3,3,790602,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1544",1,2,16,4,5,2,3,1,2,5,5,2,5,5,1,2,1,4,1,2,2,2,2,2,623702,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1545",1,2,16,4,3,2,3,2,1,5,4,3,5,5,4,4,1,4,1,2,2,2,2,2,614803,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1547",1,2,16,4,4,2,3,2,2,4,3,2,3,4,4,4,1,3,2,3,3,3,3,3,567403,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1548",1,2,16,4,4,2,3,2,2,4,4,4,2,5,4,4,2,4,1,2,2,2,2,2,605803,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1550",1,2,16,4,3,2,3,2,2,5,5,2,5,5,4,4,1,4,3,2,2,2,2,2,140302,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1551",1,2,16,4,5,2,3,2,2,5,5,3,3,5,4,4,3,4,2,1,1,1,1,1,242704,1,0,0,1.098612289,0,1,0,0,0,1,1,0,0,0,1,4,0,4,1.609437912,1,1,0,0,1,0,0,0,0,0,1,0,0
"1554",1,2,16,4,3,2,3,3,2,4,5,2,5,5,4,4,2,3,1,3,3,3,3,3,640902,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1,0,0,1,0,0,1,0,0,1,0,0,1
"1555",1,2,16,4,3,2,3,3,2,5,4,3,4,5,4,4,3,4,1,3,3,3,3,3,693802,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,5,0,5,1.791759469,1,0,0,1,0,0,1,0,0,1,0,0,1
"1556",1,2,16,4,4,2,3,4,1,3,4,2,2,4,2,4,1,4,2,2,2,2,2,2,76005,0,1,0,2.564949357,1,1,0,0,1,1,1,0,1,0,1,7,0,7,2.079441542,1,0,1,0,0,1,0,0,1,0,0,1,0
"1557",1,2,16,4,2,2,3,4,1,5,4,3,2,5,3,2,2,4,2,2,2,2,2,2,174203,0,1,0,3.135494216,0,1,0,0,0,1,1,0,1,1,1,6,0,6,1.945910149,1,0,1,0,0,1,0,0,1,0,0,1,0
"1558",1,2,16,4,4,2,3,4,2,1,4,2,3,3,2,3,2,3,1,3,3,3,3,3,768402,0,0,1,1.098612289,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1559",1,2,16,4,5,2,3,4,2,5,3,2,4,5,4,4,2,3,1,1,1,1,1,1,287002,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,5,1,6,1.945910149,1,1,0,0,1,0,0,0,0,0,1,0,0
"1563",1,2,16,4,5,2,5,1,2,5,5,5,5,5,4,4,1,4,1,2,2,2,2,2,536303,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1564",1,2,16,4,4,2,5,4,1,5,4,2,3,4,4,4,3,4,1,1,1,1,1,1,66904,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,1,0,0,1,0,0,0,0,0,1,0,0
"1566",1,2,16,4,2,2,5,4,4,4,4,2,4,5,2,3,1,4,1,2,2,2,2,2,221103,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,4,1,5,1.791759469,1,0,1,0,0,1,0,0,1,0,0,1,0
"1567",1,2,16,5,4,1,1,1,2,4,5,1,4,5,2,3,2,4,1,2,2,2,2,2,403303,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1569",1,2,16,5,3,1,1,2,4,4,5,4,5,5,4,3,1,4,1,2,2,2,2,2,536203,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,2,0,1,0,0,1,0,0,1,0,0,1,0
"1570",1,2,16,5,5,1,1,4,2,5,5,2,5,5,2,4,2,4,1,3,3,3,3,3,596402,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,3,0,0,1,0,0,1,0,0,1,0,0,1
"1571",1,2,16,5,2,1,1,4,2,5,5,4,5,5,2,2,2,4,1,1,1,1,1,1,397104,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,1,0,0,1,0,0,0,0,0,1,0,0
"1572",1,2,16,5,4,1,3,2,2,4,5,2,4,5,1,3,2,3,1,1,1,1,1,1,428102,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,1,0,0,1,0,0,0,0,0,1,0,0
"1574",1,2,16,5,4,1,3,2,2,4,5,3,5,5,4,4,2,4,2,2,2,2,2,2,112802,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1575",1,2,16,5,4,1,3,3,2,5,4,2,4,5,4,4,2,4,2,2,2,2,2,2,477702,0,1,0,1.945910149,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1577",1,2,16,5,1,1,5,1,3,3,3,4,3,3,2,3,1,4,1,2,2,2,2,2,555703,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"1578",1,2,16,5,5,1,5,2,2,4,5,2,5,5,4,4,2,4,1,1,1,1,1,1,451002,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,1,0,0,1,0,0,0,0,0,1,0,0
