"","technique","mis.variable","mis.type","mis.level","sum.bias.sq","sqrt.sbs","mean.rng"
"71","rf","usr","mcar","50",0.00924665561489841,0.0961595321062785,0.10123
"72","rf","y1v19","mcar","50",0.00362496044359754,0.060207644395023,0.108386
"73","rf","age","mnar","05",0.000264366762641813,0.0162593592322026,0.035644
"74","rf","usr","mnar","05",0.000192699024747015,0.013881607426628,0.030338
"75","rf","y1v19","mnar","05",7.49595233199206e-05,0.00865791680024246,0.029772
"76","rf","age","mnar","25",0.00643502570447513,0.0802186119580433,0.084512
"77","rf","usr","mnar","25",0.0303875700184845,0.174320308680556,0.06453
"78","rf","y1v19","mnar","25",0.000921262387193428,0.0303523044791236,0.066898
"79","rf","age","mnar","50",0.0502939142052125,0.22426304690076,0.102146
"80","rf","usr","mnar","50",0.0446870585877459,0.211393137513368,0.137616
"81","rf","y1v19","mnar","50",0.00152764671740088,0.0390851214325974,0.109182
"82","lwd","age","mar.sex","05",0.000135901906189639,0.0116576972936185,0.065788
"83","lwd","usr","mar.sex","05",0.000312586570013992,0.0176801179298667,0.075944
"84","lwd","y1v19","mar.sex","05",0.000419375082886162,0.0204786494399939,0.071632
"85","lwd","age","mar.sex","25",0.0077705314495929,0.0881506179762394,0.137298
"86","lwd","usr","mar.sex","25",0.00690241310947193,0.08308076257156,0.127872
"87","lwd","y1v19","mar.sex","25",0.0062813261038144,0.0792548175432535,0.13928
"88","lwd","age","mar.sex","50",0.0400141527198553,0.200035378670513,0.238778
"89","lwd","usr","mar.sex","50",0.0454766564158068,0.213252564851649,0.264858
"90","lwd","y1v19","mar.sex","50",0.0676206204666672,0.260039651720016,0.225994
"91","lwd","age","mcar","05",0.000209677981997227,0.0144802618069297,0.065328
"92","lwd","usr","mcar","05",0.000244594076136417,0.0156395037049267,0.065254
"93","lwd","y1v19","mcar","05",0.000107872830476947,0.0103861845967105,0.066178
"94","lwd","age","mcar","25",0.000139012018910966,0.0117903358268951,0.182958
"95","lwd","usr","mcar","25",0.000609514342190422,0.0246883442577752,0.164662
"96","lwd","y1v19","mcar","25",0.00107902396767242,0.0328485002347507,0.160486
"97","lwd","age","mcar","50",0.00284113503406766,0.0533022985814652,0.281484
"98","lwd","usr","mcar","50",0.00428559277746726,0.0654644390296538,0.27963
"99","lwd","y1v19","mcar","50",0.0044184763716911,0.0664716207993389,0.279856
"100","lwd","age","mnar","05",0.000423623779931754,0.0205821228237457,0.066514
"101","lwd","usr","mnar","05",0.000402740740972454,0.0200684015549932,0.062946
"102","lwd","y1v19","mnar","05",0.000222154033997559,0.0149048325719398,0.070894
"103","lwd","age","mnar","25",0.0191412360834693,0.138351856089715,0.164212
"104","lwd","usr","mnar","25",0.000696072727738283,0.0263831902494426,0.16627
"105","lwd","y1v19","mnar","25",0.00212995151413497,0.0461513977484428,0.165068
"106","lwd","age","mnar","50",0.512901367491852,0.716171325516354,0.467418
"107","lwd","usr","mnar","50",0.00875996545179576,0.0935946870917135,0.2621
"108","lwd","y1v19","mnar","50",0.0115623771167766,0.107528494441132,0.264654
