"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.01795892487825,0.127297141158022,7.99671473858627,3.64318830518715e-15
"usrUrbanTRUE",-0.141264614261643,0.0375000568955675,-3.7670506648842,0.000175202306167516
"usrSuburbanTRUE",-0.0697603860993348,0.035411202548085,-1.97000895421744,0.0491232494458689
"age1",0.0529220113069071,0.00705173558546465,7.50482071619252,1.39682786628593e-13
"p25TRUE",0.318775872185683,0.0962850149044329,3.31075269087388,0.000964976501115123
"y1v19",-0.112692877030593,0.0144668981348461,-7.78970557338427,1.73133031134168e-14
